title,next_due,frequency,notbefore,duration
DBS Vorlesung nacharbeiten,2022-06-06 12:00:00,7,2022-05-30 12:00:00,30 min
KvA Vorbereitungsblatt lösen,2022-06-08 12:00:00,7,2022-06-01 14:00:00,90 min
KII Vorlesung,2022-06-08 12:00:00,7,2022-06-01 00:00:00,90 min
KII Übung ansehen,2022-06-07 00:00:00,7,2022-05-31 00:00:00,1 hr
PPP Vorlesung nacharbeiten,2022-06-09 12:00:00,7,2022-06-02 17:00:00,30 min
PPP Testat lösen,2022-06-06 20:00:00,7,2022-06-02 17:00:00,90 min
PSÜ Vorlesung nacharbeiten,2022-06-06 12:00:00,7,2022-05-30 16:00:00,30 min
PSÜ Übung lösen,2022-06-06 20:00:00,7,2022-05-31 14:00:00,2 hrs
ReNe Vorlesung nacharbeiten,2022-06-07 11:00:00,7,2022-05-31 13:00:00,30 min
ReNe Übung lösen,2022-06-09 00:00:00,7,2022-06-02 00:00:00, 60 min
SWQ Vorlesung,2022-06-06 00:00:00,7,2022-05-30 00:00:00,90 min
SWQ Übung lösen,2022-06-06 00:00:00,7,2022-05-30 18:00:00,1 hr
DS Korrektur,2022-06-07 00:00:00,7,2022-06-04 00:00:00,3 hrs
